"Dataset","Loc_ID","Lat","Lon","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK","DAT_TYPE"
"Fang_Hainan","FH1",18.667,108.833,0.01,171,1024,5,30180,13086.25,22.8,26.3,44,54,80,134,1,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Lu_SW_China","Lu_Menglun",21.95,101.2,0.01,106,393,10,26729,11555.5,22.2,25.4,54,68,73,206,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Lu_SW_China","Lu_Mengla",21.533,101.55,0.01,94,423,10,26812,11430.75,21.9,25,55,78,75,202,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Lu_SW_China","Lu_Manyang",21.45,101.6,0.01,84,467,10,26195,11063.25,22.1,25.3,55,76,78,189,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Xiang_SW_China","Xiang_Mulun",25.161,108.0528,0.01,68,535,10,17390,13253.6669921875,19.1,26.5,31,111,66,356,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Xiang_SW_China","Xiang_Maoershan",25.869,110.37,0.01,72,764,10,12447,6039.5,15.3,24,27,178,54,131,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Wu_NE_China","Wu_P1",42.405,128.088,0.001,12,43,10,10121,5613.16650390625,2.5,17.9,26,26,92,46,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Wu_NE_China","Wu_P3",42.32,128.123,6e-04,10,64,10,10427,5779.33349609375,2,17.4,26,27,92,20,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Wu_NE_China","Wu_P4",47.184,128.907,0.001,10,47,10,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Wu_NE_China","Wu_P9",44.365,128.219,6e-04,10,123,10,8370,5105.91650390625,-1.2,15.5,24,23,97,172,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic","Plot"
"Cao_Zhang_SW_China","Cao_1",21.483,101.567,0.0025,68,308,5,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E1",27.8472,117.8553,4e-04,11,91,5,14109,6486.41650390625,14.2,22.7,26,195,54,536,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E2",27.8789,117.8498,4e-04,15,17,5,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E3",27.8843,117.842,4e-04,21,199,5,15961,8786.1669921875,15.6,24.3,27,195,57,547,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E4",27.8776,117.8449,6e-04,37,162,5,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E5",27.8772,117.8442,6e-04,42,196,5,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E6",27.877,117.8429,6e-04,32,142,5,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E7",27.8769,117.8416,6e-04,38,145,5,16131,7822.16650390625,15.5,24.2,27,195,57,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E8",27.8765,117.8396,6e-04,38,238,5,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E9",27.876,117.838,6e-04,36,194,5,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E10",27.8761,117.8368,6e-04,24,249,5,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E11",27.8758,117.8352,6e-04,19,197,5,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E12",27.8754,117.8338,6e-04,32,313,5,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E13",27.8755,117.8323,6e-04,15,355,5,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E14",27.8756,117.83,6e-04,25,388,5,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E15",27.8758,117.829,6e-04,16,528,5,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E16",27.876,117.8274,6e-04,12,188,5,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E17",27.8763,117.8257,6e-04,28,233,5,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E18",27.8777,117.8235,6e-04,22,397,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E19",27.877,117.8221,6e-04,9,397,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E20",27.8768,117.8208,6e-04,10,164,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E21",27.8739,117.819,6e-04,16,191,5,12841,5197.16650390625,11.8,20,25,197,52,429,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E22",27.8775,117.8171,6e-04,12,115,5,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E23",27.8775,117.8156,6e-04,18,154,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E24",27.878,117.8143,6e-04,13,179,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E25",27.8777,117.8116,6e-04,16,130,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E26",27.877,117.8116,6e-04,8,185,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E27",27.8775,117.8101,6e-04,9,298,5,13544,4804.75,10.5,18.5,25,199,52,482,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
"Zheng_Fujian","E28",27.8754,117.7921,6e-04,4,148,5,14085,5443.25,11.2,19.3,25,198,52,347,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay","Plot"
