Lat	Lon	Area_ha	S	N	min_DBH_cm	Tree_def	Notes	Numerical_ID	Plot_ID	Dataset	Ref_short	Ref_long
18.667	108.833	1	171	1024	5	trees	NA	1	FH1	Fang_Hainan	Fang et al. 2004	Fang et al. (2004) Community structures and species richness in the montane rain forest of Jianfengling, Hainan Island, China. Biodiversity Science 12: 29-43.
21.95	101.2	1	106	393	10	trees	NA	2	Lu_Menglun	Lu_SW_China	Lu et al. 2010	Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.
21.533	101.55	1	94	423	10	trees	NA	3	Lu_Mengla	Lu_SW_China	Lu et al. 2010	Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.
21.45	101.6	1	84	467	10	trees	NA	4	Lu_Manyang	Lu_SW_China	Lu et al. 2010	Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.
25.161	108.0528	1	68	535	10	woody species	Has S and N also for trees of smaller DBHs.	5	Xiang_Mulun	Xiang_SW_China	Xiang et al. 2015	Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016.
25.869	110.37	1	72	764	10	woody species	Has S and N also for trees of smaller DBHs.	6	Xiang_Maoershan	Xiang_SW_China	Xiang et al. 2015	Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016.
42.405	128.088	0.1	12	43	10	trees	NA	7	Wu_P1	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
42.405	128.088	0.1	11	67	10	trees	NA	8	Wu_P2	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
42.32	128.123	0.06	10	64	10	trees	NA	9	Wu_P3	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
47.184	128.907	0.1	10	47	10	trees	NA	10	Wu_P4	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
47.184	128.907	0.1	9	55	10	trees	NA	11	Wu_P5	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
47.184	128.907	0.1	11	48	10	trees	NA	12	Wu_P6	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
47.184	128.907	0.1	7	50	10	trees	NA	13	Wu_P7	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
47.184	128.907	0.1	11	57	10	trees	NA	14	Wu_P8	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
44.365	128.219	0.06	10	123	10	trees	NA	15	Wu_P9	Wu_NE_China	Wu et al. 2004	Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.
51.6	123.067	0.06	2	96	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	16	Baik_1	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.06	2	102	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	17	Baik_2	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.04	3	116	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	18	Baik_3	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.04	1	145	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	19	Baik_4	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.06	3	154	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	20	Baik_5	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.06	1	53	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	21	Baik_6	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.08	2	75	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	22	Baik_7	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
51.6	123.067	0.08	1	88	NA	trees	Lat and Lon coordinates in this study are available only for the highest point.	23	Baik_8	Zhao_Baikalu	Zhao et al. 2004	Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.
