"Lat","Lon","Area_ha","S","N","min_DBH_cm","Tree_def","Notes","Numerical_ID","Plot_ID","Dataset","Ref_short","Ref_long","TREE_DENS","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK"
18.667,108.833,1,171,1024,5,"trees",NA,1,"FH1","Fang_Hainan","Fang et al. 2004","Fang et al. (2004) Community structures and species richness in the montane rain forest of Jianfengling, Hainan Island, China. Biodiversity Science 12: 29-43.",57262,30180,13086.25,22.8,26.3,44,54,80,134,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.95,101.2,1,106,393,10,"trees",NA,2,"Lu_Menglun","Lu_SW_China","Lu et al. 2010","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.",38751,26729,11555.5,22.2,25.4,54,68,73,206,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.533,101.55,1,94,423,10,"trees",NA,3,"Lu_Mengla","Lu_SW_China","Lu et al. 2010","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.",35576,26812,11430.75,21.9,25,55,78,75,202,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.45,101.6,1,84,467,10,"trees",NA,4,"Lu_Manyang","Lu_SW_China","Lu et al. 2010","Lu et al. (2010) Structure, tree species diversity and composition of tropical seasonal rainforests in Xishuangbanna, south-west China. Journal of Tropical Forest Science 22: 260-270.",33638,26195,11063.25,22.1,25.3,55,76,78,189,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
25.161,108.0528,1,68,535,10,"woody species","Has S and N also for trees of smaller DBHs.",5,"Xiang_Mulun","Xiang_SW_China","Xiang et al. 2015","Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016.",60643,17390,13253.6669921875,19.1,26.5,31,111,66,356,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
25.869,110.37,1,72,764,10,"woody species","Has S and N also for trees of smaller DBHs.",6,"Xiang_Maoershan","Xiang_SW_China","Xiang et al. 2015","Xiang et al. (2015) A comparison of tree species diversity in two subtropical forests, Guangxi, Southwest China. Journal of Resources Ecology, 6: 208-2016.",51008,12447,6039.5,15.3,24,27,178,54,131,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
42.405,128.088,0.1,12,43,10,"trees",NA,7,"Wu_P1","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",40544,10121,5613.16650390625,2.5,17.9,26,26,92,46,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
42.405,128.088,0.1,11,67,10,"trees",NA,8,"Wu_P2","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",40544,10121,5613.16650390625,2.5,17.9,26,26,92,46,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
42.32,128.123,0.06,10,64,10,"trees",NA,9,"Wu_P3","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",43378,10427,5779.33349609375,2,17.4,26,27,92,20,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
47.184,128.907,0.1,10,47,10,"trees",NA,10,"Wu_P4","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",46516,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
47.184,128.907,0.1,9,55,10,"trees",NA,11,"Wu_P5","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",46516,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
